strain	author	submitting_lab
A/swan/Romania/1039422VIR27493/2022	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/swan/Romania/1098622VIR27498/2022	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/cygnuscygnus/Romania/1016423VIR11458/2023	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/cygnuscygnus/Romania/1000823VIR11453/2023	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/turkey/Romania/1027123VIR114513/2023	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/anasplatyrhynchos/Romania/1036823VIR13682/2023	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/turkey/Romania/1028123VIR114510/2023	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/turkey/Romania/1028123VIR114511/2023	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/cygnuscygnus/Romania/1719823VIR11452/2022	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/cygnusolor/Romania/1714223VIR11451/2022	"Barbuceanu, F.; Onita, I.; Neicut, A.; Motiu, R.; Burlacu, R.; Pastori, A.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
