strain	author	submitting_lab
A/duck/Bangladesh/34743/2018	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/chicken/Bangladesh/34265/2017	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/duck/Bangladesh/34032/2017	"Barman,S.; Turner,J.C.; Hasan,M.K.; Akhtar,S.; Franks,J.; El-Shesheny,R.; Walker,D.; Seiler,P.; Friedman,K.; Kercher,L.; Kayali,G.; Jones-Engel,L.; McKenzie,P.; Krauss,S.; Webby,R.J.; Feeroz,M.M.; Webster,R.G."	
A/chicken/Netherlands/20019879001005/2020	"Beerens, Nancy; Harders, Frank; Pritz-Verschuren, Sylvia; Roose, Marit; Germeraad, Evelien; Engelsma, Marc; Bossers, Alex; Heutink, Rene"	Wageningen Bioveterinary Research
A/chicken/Netherlands/21037233001/2021	"Beerens, Nancy; Harders, Frank; Pritz-Verschuren, Sylvia; Roose, Marit; Germeraad, Evelien; Engelsma, Marc; Heutink, Rene"	Wageningen Bioveterinary Research
A/Muteswan/Netherlands/21037283002/2021	"Beerens, Nancy; Harders, Frank; Pritz-Verschuren, Sylvia; Roose, Marit; Germeraad, Evelien; Engelsma, Marc; Heutink, Rene"	Wageningen Bioveterinary Research
A/chicken/Netherlands/21037287006010/2021	"Beerens, Nancy; Harders, Frank; Pritz-Verschuren, Sylvia; Roose, Marit; Germeraad, Evelien; Engelsma, Marc; Heutink, Rene"	Wageningen Bioveterinary Research
A/greylaggoose/Netherlands/20016582004/2020	"Beerens, Nancy; Harders, Frank; Verschuren-Pritz, Sylvia; Roose, Marit; Germeraad, Evelien; Engelsma, Marc; Bossers, Alex; Heutink, Rene"	Wageningen Bioveterinary Research
A/eurasianteal/Netherlands/20016896013/2020	"Beerens, Nancy; Harders, Frank; Verschuren-Pritz, Sylvia; Roose, Marit; Germeraad, Evelien; Engelsma, Marc; Bossers, Alex; Heutink, Rene"	Wageningen Bioveterinary Research
A/chicken/BritishColumbia/FAV2/2015	"Berhane,Y.; Kobasa,D.; Embury-Hyatt,C.; Pickering,B.; Babiuk,S.; Joseph,T.; Bowes,V.; Suderman,M.; Leung,A.; Cottam-Birt,C.; Hisanaga,T.; Pasick,J.; Xu,W.; Alexandersen,S."	
A/falcon/CostaRica/INC001377/2023	"Bernal,Leon; Olga,Aguilar; Idania,Chacon; Guisella,Chaves; Hebleen,Brenes; Claudio,Soto-Garita; Dihala,Picado; Isabel,Abarca; Estela,Cordero; Adriana,Godinez; Melany,Calderon; Francisco,Duarte"	"Inciensa, Investigación Y Enseñanza En Nutrición Y Salud"
A/duck/Hunan/0307YYGK1L3OC/2018	"Bi,Y.; Li,J.; Li,S.; Fu,G.; Jin,T.; Zhang,C.; Yang,Y.; Ma,Z.; Tian,W.; Xiao,S.; Li,L.; Yin,R.; Zhang,Y.; Wang,L.; Qin,Y.; Yao,Z.; Meng,F.; Hu,D.; Li,D.; Wong,G.; Liu,F.; Lv,N.; Fu,L.; Peng,Y.; Ma,J.; Sharshov,K.; Shestopalov,A.; Gulyaeva,M.; Gao,G.F.; Chen,J.; Shi,Y.; Liu,W.J.; Chu,D.; Huang,Y.; Liu,Y.; Liu,L.; Chen,Q.; Shi,W."	
A/duck/Hunan/412YYGK34L3OC/2018	"Bi,Y.; Li,J.; Li,S.; Fu,G.; Jin,T.; Zhang,C.; Yang,Y.; Ma,Z.; Tian,W.; Xiao,S.; Li,L.; Yin,R.; Zhang,Y.; Wang,L.; Qin,Y.; Yao,Z.; Meng,F.; Hu,D.; Li,D.; Wong,G.; Liu,F.; Lv,N.; Fu,L.; Peng,Y.; Ma,J.; Sharshov,K.; Shestopalov,A.; Gulyaeva,M.; Gao,G.F.; Chen,J.; Shi,Y.; Liu,W.J.; Chu,D.; Huang,Y.; Liu,Y.; Liu,L.; Chen,Q.; Shi,W."	
A/Cygnusolor/Romania/1638121VIR10306/2021	"Burlacu, R.; Neicut, A.; Onita, I.; Motiu, R.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Milani, A.; Giussani, E.; Pastori, A.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/muteswan/Romania/1679021VIR11355/2021	"Burlacu, R.; Neicut, A.; Onita, I.; Motiu, R.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Milani, A.; Giussani, E.; Pastori, A.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/Chicken/Lao/Xaythiani26/2006	"Butler,J.; Middleton,D.; Klippel,J.; Rockman,S.; Brown,L.; Sapats,S."	
A/peregrinefalcon/Ireland/00019122VIR132515/2022	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/whitetailedeagle/Ireland/03203422VIR132523/2021	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/turkey/Ireland/03542522VIR132517/2021	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/greylaggoose/Ireland/03296922VIR13256/2021	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/duck/Ireland/03664622VIR132518/2021	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/duck/Ireland/03610522VIR132522/2021	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/greylaggoose/Ireland/03306222VIR13257/2021	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/muteswan/Ireland/03236322VIR13251/2021	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/herringgull/Ireland/03353322VIR132510/2021	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/goose/Ireland/386922VIR20642/2022	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/fox/Ireland/386622VIR20641/2022	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/buzzard/Ireland/00065622VIR132512/2022	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/whooperswan/Ireland/03296022VIR13254/2021	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/brentgoose/Ireland/03325722VIR13259/2021	"Byrne, C.; Garcia, K.; Cuartero, L.G.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/duck/CaMau/0237/2015	"Cao,B.V.; Le Ha,T.D.; Mai,V.N.; Dang Trinh,M.A.; Le Phan,K.N.; Vo Tran,N.T.; Hoang,T."	
A/chicken/Luxembourg/23023602/2023	"Chantal Snoeck, Aurélie Sausy"	Luxembourg Institute Of Health
A/goose/Luxembourg/22253283/2022	"Chantal Snoeck, Aurélie Sausy"	Luxembourg Institute Of Health
A/greategret/Luxembourg/23040216/2023	"Chantal Snoeck, Aurélie Sausy"	Luxembourg Institute Of Health
A/Europeanherringgull/Denmark/19968102/20210514	"Charlotte Hjulsager, Yuan Liang"	Statens Serum Institute
A/barnaclegoose/Denmark/24342102/20211030	"Charlotte Hjulsager, Yuan Liang"	Statens Serum Institute
A/turkey/Denmark/2432525/20211030	"Charlotte Hjulsager, Yuan Liang"	Statens Serum Institute
A/chicken/Denmark/2435711/20211102	"Charlotte Hjulsager, Yuan Liang"	Statens Serum Institute
A/commonbuzzard/Denmark/24271102/20211025	"Charlotte Hjulsager, Yuan Liang"	Statens Serum Institute
A/greylaggoose/Denmark/24343102/20211101	"Charlotte Hjulsager, Yuan Liang"	Statens Serum Institute
A/greylaggoose/Denmark/24309101/20211027	"Charlotte Hjulsager, Yuan Liang"	Statens Serum Institute
A/Eurasianwigeon/Denmark/240669/20211013	"Charlotte Hjulsager, Yuan Liang"	Statens Serum Institute
A/Eurasianteal/Denmark/241152/20211016	"Charlotte Hjulsager, Yuan Liang"	Statens Serum Institute
A/duck/Hubei/ZYSYF25/2016	"Chen,L.J.; Tian,J.H.; Lin,X.D.; Liao,Y.; Shi,M.; Zhang,Y.Z."	
A/duck/Hubei/ZYSYF2/2016	"Chen,L.J.; Tian,J.H.; Lin,X.D.; Liao,Y.; Shi,M.; Zhang,Y.Z."	
A/Cambodia/NPH2300322/2023	"Chhorvann,CHHEA;Darapheak,CHAU;Sitha,PRUM;Visal,CHHE;Sokha,DUL;Sengly,MANH; Phally,VY; Borann,SAR; Chanthap,LON; Jessica E,Manning;Sophana,Chea; Savuth,CHIN"	National Institute Of Public Health
A/Americanwigeon/SouthCarolina/AH0195145/2021	"Chinh,Thanh; Love, Emily; Franzen,Kerrie; Killian,Mary; Koster,Leo; Bevins,Sarah; Dilione,Krista; Lenoch,Julianna; Linder,Timothy"	National Veterinary Services Laboratories   Usda
A/turkey/Minnesota/22010652001original/2022	"Chinh,Thanh;Franzen,Kerrie;Love, Emily;Killian,Mary;Koster,Leo;Lantz,Kristina;Stuber,Tod;Hicks,Jessica"	National Veterinary Services Laboratories   Usda
A/Americanbluewingedteal/SouthCarolina/AH0195150/2021	"Chinh,Thanh;Love, Emily;Franzen,Kerrie;Killian,Mary;Koster,Leo;Bevins,Sarah;Dilione,Krista;Lenoch,Julianna;Linder,Timothy"	National Veterinary Services Laboratories   Usda
A/fox/Michigan/22014536004original/2022	"Chinh,Thanh;Love, Emily;Franzen,Kerrie;Killian,Mary;Koster,Leo;Lantz,Kristina;Stuber,Tod;Hicks,Jessica"	National Veterinary Services Laboratories   Usda
A/chicken/Pennsylvania/22012742002original/2022	"Chinh,Thanh;Love, Emily;Franzen,Kerrie;Killian,Mary;Koster,Leo;Lantz,Kristina;Stuber,Tod;Hicks,Jessica"	National Veterinary Services Laboratories   Usda
A/turkey/Kentucky/22004546001/2022	"Chinh,Thanh;Love, Emily;Franzen,Kerrie;Killian,Mary;Koster,Leo;Lantz,Kristina;Stuber,Tod;Hicks,Jessica"	National Veterinary Services Laboratories   Usda
A/turkey/Kentucky/22004546002/2022	"Chinh,Thanh;Love, Emily;Franzen,Kerrie;Killian,Mary;Koster,Leo;Lantz,Kristina;Stuber,Tod;Hicks,Jessica"	National Veterinary Services Laboratories   Usda
A/LadyAmherstspheasant/Wisconsin/22013061005original/2022	"Chinh,Thanh;Love, Emily;Franzen,Kerrie;Killian,Mary;Koster,Leo;Lantz,Kristina;Stuber,Tod;Hicks,Jessica"	National Veterinary Services Laboratories   Usda
A/turkey/Iowa/22006795002original/2022	"Chinh,Thanh;Love, Emily;Franzen,Kerrie;Killian,Mary;Koster,Leo;Lantz,Kristina;Stuber,Tod;Hicks,Jessica"	National Veterinary Services Laboratories   Usda
A/Eurasianeagleowl/Korea/23/2010	"Choi,J.G.; Kang,H.M.; Jeon,W.J.; Choi,K.S.; Kim,K.I.; Song,B.M.; Lee,H.S.; Kim,J.H.; Lee,Y.J."	
A/goose/China/E43/2012	"Cui,J.; Qu,N.; Guo,Y.; Cao,L.; Wu,S.; Mei,K.; Sun,H.; Lu,Y.; Qin,Z.; Jiao,P.; Liao,M."	
A/duck/China/E53/2012	"Cui,J.; Qu,N.; Guo,Y.; Cao,L.; Wu,S.; Mei,K.; Sun,H.; Lu,Y.; Qin,Z.; Jiao,P.; Liao,M."	
A/duck/TienGiang/16/2013	"Cuong,N.V.; Carrique-Mas,J.; Hoa,N.T.; Truc,V.N.T."	
A/duck/TienGiang/5/2013	"Cuong,N.V.; Carrique-Mas,J.; Hoa,N.T.; Truc,V.N.T."	
A/crow/India/01TR01/2012	"Das,B.R.; Tosh,C.; Kumar,M.; Nagarajan,S.; Murugkar,H.V.; Shukla,S.; Tripathi,S.; Mishra,A.; Kulkarni,D.D."	
A/duck/Hunan/S4030/2011	"Deng,G.; Tan,D.; Shi,J.; Cui,P.; Jiang,Y.; Liu,L.; Tian,G.; Kawaoka,Y.; Li,C.; Chen,H."	
A/chicken/Mali/T117722VIR61041/2022	"DIAKITÉ, A.; DIAKITÉ, M.A.; NIANGALY, F.; SAMAKÉ, K.; DEMBELÉ, C.; TRAORÉ, C.; SIDIBE, C.A.K.; MAIGA, B.M.ditA.; DIALL, M.; OUATTARA, L.; SALLA, A.; NIANG, M.; COULIBALY, D.; KANOUTÉ, B.; Zecchin, B.; Barbierato, G.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/chicken/Mali/T217822VIR61043/2022	"DIAKITÉ, A.; DIAKITÉ, M.A.; NIANGALY, F.; SAMAKÉ, K.; DEMBELÉ, C.; TRAORÉ, C.; SIDIBE, C.A.K.; MAIGA, B.M.ditA.; DIALL, M.; OUATTARA, L.; SALLA, A.; NIANG, M.; COULIBALY, D.; KANOUTÉ, B.; Zecchin, B.; Barbierato, G.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/chicken/Mali/T418022VIR61047/2022	"DIAKITÉ, A.; DIAKITÉ, M.A.; NIANGALY, F.; SAMAKÉ, K.; DEMBELÉ, C.; TRAORÉ, C.; SIDIBE, C.A.K.; MAIGA, B.M.ditA.; DIALL, M.; OUATTARA, L.; SALLA, A.; NIANG, M.; COULIBALY, D.; KANOUTÉ, B.; Zecchin, B.; Barbierato, G.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/chicken/Mali/S317922VIR61045/2022	"DIAKITÉ, A.; DIAKITÉ, M.A.; NIANGALY, F.; SAMAKÉ, K.; DEMBELÉ, C.; TRAORÉ, C.; SIDIBE, C.A.K.; MAIGA, B.M.ditA.; DIALL, M.; OUATTARA, L.; SALLA, A.; NIANG, M.; COULIBALY, D.; KANOUTÉ, B.; Zecchin, B.; Barbierato, G.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/duck/Nanchang/9789/2013	"Ding,L.F.; Qin,Z.Q.; Qu,X.; Wu,L.; Pan,Z.S."	
A/Spotbilledduck/Korea/K227301/2022	"Dong-Hun Lee, Chang-Seon Song"	Konkuk University
A/Wildbird/Korea/K22742/2022	"Dong-Hun Lee, Chang-Seon Song"	Konkuk University
A/chicken/Jiangxi/25/2011	"Dong,G.; Yan,H.; Xie,Y."	
A/chicken/HongKong/AP156/2008	"Ducatez,M.F.; Sonnberg,S.; Phommachanh,P.; Douangngeun,B.; Peiris,M.; Guan,Y.; Webster,R.; Webby,R."	
A/barnswallow/HongKong/1161/2010	"Ducatez,M.F.; Sonnberg,S.; Phommachanh,P.; Douangngeun,B.; Peiris,M.; Guan,Y.; Webster,R.; Webby,R."	
A/muteswan/Poland/MB490L1/2021	"E. Swieton, K. Smietanka"	"National Veterinary Research Institut Poland, Piwet Pib"
A/domesticgoose/Poland/H1931T1/2021	"E. Swieton, K. Smietanka"	"National Veterinary Research Institut Poland, Piwet Pib"
A/domesticduck/Poland/H1942N/2021	"E. Swieton, K. Smietanka"	"National Veterinary Research Institut Poland, Piwet Pib"
A/chicken/Poland/H1940N/2021	"E. Swieton, K. Smietanka"	"National Veterinary Research Institut Poland, Piwet Pib"
A/turkey/Poland/H1911N/2021	"E. Swieton, K. Smietanka"	"National Veterinary Research Institut Poland, Piwet Pib"
A/turkey/Poland/H1910T3/2021	"E. Swieton, K. Smietanka"	"National Veterinary Research Institut Poland, Piwet Pib"
A/turkey/Poland/H1913T1/2021	"E. Swieton, K. Smietanka"	"National Veterinary Research Institut Poland, Piwet Pib"
A/turkey/Poland/H1924T1/2021	"E. Swieton, K. Smietanka"	"National Veterinary Research Institut Poland, Piwet Pib"
A/turkey/Poland/H1944N/2021	"E. Swieton, K. Smietanka"	"National Veterinary Research Institut Poland, Piwet Pib"
A/whitestork/Poland/MB391/2021	"Edyta, Swieton; Kamila, Dziadek; Krzysztof, Smietanka"	"National Veterinary Research Institut Poland, Piwet Pib"
A/chicken/Wuxi/WX32/2013	"Fan,S.; Gao,X.; Wang,T.; Sun,W.; Ying,Y.; Li,X.; Zhao,Y.; Yang,S.; Gao,Y.; Xia,X."	
A/duck/Bangladesh/19097/2013	"Feeroz,M.M.; Alam,R.S.; Hasan,K.M.; McKenzie,P.; Marinova-Petkova,A.; Webster,R.G."	
A/chicken/Guangxi/S2039/2009	"Feng,X.; Wang,Z.; Shi,J.; Deng,G.; Kong,H.; Tao,S.; Li,C.; Liu,L.; Guan,Y.; Chen,H."	
A/Pelecanus/Peru/VFAR140/2022	"Fernandez-Diaz,M.; Villanueva-Perez,D.; Tataje-Lavanda,L.; Montalvan-Avalos,A.; Isasi-Rivas,G.; Lulo,M.; Fernandez-Sanchez,M."	Universidad Privada San Juan Bautista
A/chicken/Bhutan/331/2012	"Franks,J.S.; Tenzin,S.; Tshering,D.; Rai,P.; Lhamo,K.; Dahal,N.; Dukpa,K."	
A/wildbird/Bhutan/328/2012	"Franks,J.S.; Tenzin,S.; Tshering,D.; Rai,P.; Lhamo,K.; Dahal,N.; Dukpa,K."	
A/wildbird/Bhutan/326/2012	"Franks,J.S.; Tenzin,S.; Tshering,D.; Rai,P.; Lhamo,K.; Dahal,N.; Dukpa,K."	
A/chicken/Bhutan/507/2012	"Franks,J.S.; Tenzin,S.; Tshering,D.; Rai,P.; Lhamo,K.; Dahal,N.; Dukpa,K."	
A/chicken/Bhutan/347/2012	"Franks,J.S.; Tenzin,S.; Tshering,D.; Rai,P.; Lhamo,K.; Dahal,N.; Dukpa,K."	
A/chicken/Bhutan/349/2012	"Franks,J.S.; Tenzin,S.; Tshering,D.; Rai,P.; Lhamo,K.; Dahal,N.; Dukpa,K."	
A/chicken/Bhutan/346/2012	"Franks,J.S.; Tenzin,S.; Tshering,D.; Rai,P.; Lhamo,K.; Dahal,N.; Dukpa,K."	
A/chicken/Bhutan/935/2012	"Franks,J.S.; Tenzin,S.; Tshering,D.; Rai,P.; Lhamo,K.; Dahal,N.; Dukpa,K."	
A/duck/China/0935/2017	"Ge,Z.; Cai,T.; Gu,M.; Liu,X."	
A/pelican/Greece/72CL22VIR312611/2022	"Georgiades, G.; Ragias, B.; Gkolia, A.; Anthopoulou, E.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/pelican/Greece/41AL222VIR31263/2022	"Georgiades, G.; Ragias, B.; Gkolia, A.; Anthopoulou, E.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/pelican/Greece/41TR31322VIR31261/2022	"Georgiades, G.; Ragias, B.; Gkolia, A.; Anthopoulou, E.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/pelican/Greece/69CL22VIR312610/2022	"Georgiades, G.; Ragias, B.; Gkolia, A.; Anthopoulou, E.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/pelican/Greece/41AL122VIR31262/2022	"Georgiades, G.; Ragias, B.; Gkolia, A.; Anthopoulou, E.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/pelican/Greece/64SP22VIR31267/2022	"Georgiades, G.; Ragias, B.; Gkolia, A.; Anthopoulou, E.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/pelican/Greece/64KI22VIR31266/2022	"Georgiades, G.; Ragias, B.; Gkolia, A.; Anthopoulou, E.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/pelican/Greece/64LI22VIR31268/2022	"Georgiades, G.; Ragias, B.; Gkolia, A.; Anthopoulou, E.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/pelican/Greece/64TR22VIR31269/2022	"Georgiades, G.; Ragias, B.; Gkolia, A.; Anthopoulou, E.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/duck/Bangladesh/4120T/2011	"Gerloff, Nancy; Simpson, Natosha; Poh, Mee;Davis, Todd"	Centers For Disease Control And Prevention
A/duck/Bangladesh/32077/2012	"Gerloff, Nancy; Simpson, Natosha; Poh, Mee;Davis, Todd"	Centers For Disease Control And Prevention
A/crow/Bangladesh/1056/2011	"Gerloff, Nancy; Simpson, Natosha; Poh, Mee;Davis, Todd"	Centers For Disease Control And Prevention
A/crow/Bangladesh/1061/2011	"Gerloff, Nancy; Simpson, Natosha; Poh, Mee;Davis, Todd"	Centers For Disease Control And Prevention
A/crow/Bangladesh/316T/2011	"Gerloff, Nancy; Simpson, Natosha; Poh, Mee;Davis, Todd"	Centers For Disease Control And Prevention
A/hen/Bulgaria/854122VIR77810/2021	"Goujgoulova, G.; Slavcheva, I.; Oreshkova, L.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/duck/Bulgaria/756422VIR7786/2021	"Goujgoulova, G.; Slavcheva, I.; Oreshkova, L.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/partridge/Bulgaria/74522VIR7783/2021	"Goujgoulova, G.; Slavcheva, I.; Oreshkova, L.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/hen/Bulgaria/722122VIR7781/2021	"Goujgoulova, G.; Slavcheva, I.; Oreshkova, L.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/hen/Bulgaria/757622VIR7787/2021	"Goujgoulova, G.; Slavcheva, I.; Oreshkova, L.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/turkey/Bulgaria/755122VIR7784/2021	"Goujgoulova, G.; Slavcheva, I.; Oreshkova, L.; Barbierato, G.; Zecchin, B.; Fusaro, A.; Schivo, A.; Salviato, A.; Palumbo, E.; Giussani, E.; Monne, I.; Terregino, C."	Istituto Zooprofilattico Sperimentale Delle Venezie
A/duck/EasternChina/108/2008	"Gu,M.; Liu,W.; Zhao,G.; Xu,Q.; Zhang,W.; Zhang,X.; Cao,Y.; Li,Y.; Peng,D.; Liu,X."	
A/chicken/China/AH/2012	"Gu,M.; Zhao,G.; Zhao,K.; Zhong,L.; Huang,J.; Wan,H.; Wang,X.; Liu,W.; Liu,H.; Peng,D.; Liu,X."	
A/duck/Vietnam/HN3590/2017	"Guan,L.; Zhong,G.; Fan,S.; Plisch,E.M.; Presler,R.; Gu,C.; Babujee,L.; Pattinson,D.; Hang,N.L.K.; Phuong,H.V.M.; Le,M.Q.; van Bakel,H.; Neumann,G.; Kawaoka,Y."	
A/duck/Vietnam/HN3656/2017	"Guan,L.; Zhong,G.; Fan,S.; Plisch,E.M.; Presler,R.; Gu,C.; Babujee,L.; Pattinson,D.; Hang,N.L.K.; Phuong,H.V.M.; Le,M.Q.; van Bakel,H.; Neumann,G.; Kawaoka,Y."	
